,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
402,2.0,43.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893698766013165,2.358319183253144,0.9389260121353631,0.7911373718570179,1.0579094160756213,2.1982852564630275,0.9274565621540689,0.7568942407059358,1.058576291395451,2.2084202754221107,0.9364563768117429,0.7884393930637201
403,4.0,25.0,183.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881700312125466,2.357771628169714,0.9390584121347723,0.7911879032721818,1.0566259027119735,2.195352783226741,0.9276444952805516,0.7571736502541585,1.0600516705494234,2.215586018878279,0.9368525956783406,0.7877529344889604
404,1.0,16.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908037394402634,2.3617209719803665,0.9388376345580504,0.7908330456868363,1.0578586145838786,2.193673345566798,0.927667971706722,0.7574157417596541,1.0724163644019755,2.234684315955545,0.9353232504326779,0.7859233699961496
405,2.0,13.0,156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904701778632924,2.3621804921941605,0.9387926495350538,0.7907937423661426,1.059003688349669,2.201743391912136,0.9272549786287025,0.7563906501483195,1.0561360513615288,2.2059118771896093,0.9367693500496616,0.7886796907364104
406,1.0,16.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090644464461135,2.3621544187144994,0.9388378708321052,0.7907897293462673,1.057547702558454,2.194026784282816,0.9276925712260484,0.7573933134687189,1.0715711647583734,2.2327991117497326,0.9353628107179399,0.78610396738987
407,3.0,42.0,187.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0902770443323575,2.357691970707484,0.9387326839896478,0.7911919033531278,1.0580530594805455,2.1959606635651054,0.9273797318912724,0.7572006477007599,1.0603565655701996,2.218100853833452,0.9364753797191947,0.7875120201958876
408,2.0,43.0,164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0897685727929929,2.3580620639476324,0.9386940917973003,0.7911617253291017,1.0586582021169662,2.1993700776983847,0.927167843266692,0.7567834178271603,1.0528256357382488,2.1983942682252926,0.9375952538399188,0.7893998570620417
409,2.0,49.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0887705101846594,2.361026638626207,0.9394005966822907,0.7908971939325167,1.0563414130753501,2.201017676856095,0.9280419461872186,0.7566521768564595,1.0613140905743585,2.2239896492813607,0.9360972358861414,0.7869478897389506
410,3.0,36.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0912290484520253,2.3592416907300184,0.9385872544044376,0.7910568176926702,1.0586889085576678,2.1948043228297935,0.9271249957289598,0.7572946269542591,1.058004572595025,2.2146505535406007,0.9363437555296946,0.7878425495032807
411,3.0,48.0,183.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893433315487888,2.3600156067757467,0.9390977844578495,0.790984632717693,1.0582968754310713,2.2016404211069336,0.9276634466677572,0.7562624724424596,1.0571500751460265,2.2071648197902007,0.9374432972995214,0.7885596622708201
412,2.0,43.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891869019540894,2.3578010875358064,0.9387658306573464,0.7911849059953727,1.0585692047009783,2.199324272435126,0.9272328740644948,0.756791579047783,1.0506947633538104,2.196057156399072,0.937834121965766,0.7896237459666746
413,2.0,14.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0897558144761923,2.3580353164739822,0.9391206012735591,0.7911647099386212,1.058539991507856,2.1981069111709384,0.9277457638818,0.7569430395802237,1.0651126350395959,2.2236435185227434,0.9361257224830504,0.7869810481165416
414,2.0,43.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088917859321516,2.3594819816795565,0.9390350263977101,0.7910362270800047,1.0586593491043979,2.202055655540046,0.9273564002554102,0.7564596058368481,1.0645166178419083,2.219169632022106,0.9365647533604418,0.7874096341759854
415,2.0,11.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893994023974276,2.3588913676480745,0.9391712224873221,0.7910840836028242,1.0591192522787858,2.200546654635561,0.9277171504575217,0.7566588671280763,1.0602938992455255,2.22343391732094,0.9365200605338254,0.7870011273369516
416,2.0,14.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089600711532298,2.3578765296408455,0.9387858700695886,0.7911787890839439,1.0586888168727233,2.1974536256899135,0.9272971357377082,0.7570158607933875,1.062999059922882,2.217951633012771,0.9362446775948357,0.7875263151413481
417,2.0,43.0,131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0898395454923353,2.3579502320721413,0.9386033959108631,0.7911717752734457,1.0585136426770516,2.1987671089852383,0.9270416490737183,0.7568372916168774,1.0567871787253562,2.2061612747291632,0.9366250559133926,0.7886557991359647
418,2.0,15.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087628593291984,2.3635588385121444,0.9390625828935399,0.7906704002525875,1.0587011558610748,2.208940891185571,0.9278566393012557,0.7557819204407439,1.0652578029290305,2.211013016982682,0.9360023253724907,0.7881910155314688
419,3.0,17.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0895552041638896,2.3583037775964204,0.9390261857893079,0.7911392259549439,1.0575292884736225,2.195936357366156,0.9277430516433518,0.7572521323236647,1.0588563618402016,2.214705116869746,0.9363252261481131,0.7878373224859603
420,2.0,46.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910543638509138,2.3582722881483362,0.9393657096011121,0.791145478906385,1.0580330368023763,2.19799464936297,0.9279541286370553,0.7569378418103164,1.0597698207215533,2.2341757907843056,0.9362481249152197,0.7859720853131874
421,2.0,30.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882417078807551,2.357911028950947,0.939414425603387,0.791175378802242,1.0574521412524929,2.203970488814402,0.9280564984455641,0.7564884734606521,1.0644183753808836,2.213194604267912,0.9358650456936788,0.7879820254514173
422,2.0,49.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087970150832124,2.3614955480832753,0.9394510613548075,0.7908552209645618,1.0562012534571479,2.2025342332459905,0.9280571679171973,0.7565170316627453,1.062395016905502,2.2260976923409,0.9361156961973673,0.7867459449940633
423,2.0,30.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0888837117014862,2.358301218077723,0.9388893517055203,0.7911405787439674,1.0577439840402625,2.200322744544465,0.9275488969426224,0.7568847451150469,1.056103345676347,2.2088743722314117,0.9365436672547571,0.7883958918345145
424,2.0,44.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0901782590395293,2.360498873701407,0.9393299089593994,0.7909447133516554,1.0584922471866065,2.197588387498007,0.9279828341139967,0.7569391639728659,1.0661946655637302,2.215896393779637,0.936251794708941,0.7877232014244528
425,2.0,43.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869718825384607,2.3589112311656977,0.9391133288144982,0.7910844834048841,1.0562026448298674,2.200623430082432,0.9274690728349471,0.7565560739810928,1.0678990683976681,2.219832358780207,0.936497979267289,0.7873461467697443
