,l1_ratio,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
370,0.9999045150453204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874725499278,2.3896534776888756,0.9380071990764756,0.7883628693241846,1.0625707819243395,2.220023496004214,0.927439656373948,0.7541421487227281,1.0390600655420517,2.1764988248851966,0.938348811248579,0.7914973804971063
371,0.9999943672891578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746889120918,2.389653472916935,0.9380072147811314,0.788362869746571,1.0625707569695384,2.2200235529152588,0.9274396721478474,0.7541421406139933,1.0390599996633774,2.176498785687903,0.938348827144382,0.7914973842520996
372,0.9999416452487032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747103793318,2.3896534757166785,0.9380072055665544,0.7883628694987528,1.0625707716115693,2.2200235195230222,0.9274396628926423,0.7541421453717432,1.0390600383171649,2.176498808686473,0.9383488178176506,0.7914973820488996
373,0.999282382364162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300904929923527,2.1409759384830567,0.9453668873478243,0.8103922464437585,0.988091291226465,1.9527409486923304,0.9372806505447884,0.7847143694133945,0.9715997133800282,1.9554626700146225,0.9457038687947803,0.8126720380564978
374,0.9996803033988064,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300904197220047,2.140975928357666,0.9453669231698554,0.8103922473400513,0.988091277546845,1.9527412255132681,0.9372806809236927,0.7847143331158989,0.9715995651928615,1.9554625199659752,0.9457039062327289,0.8126720524307467
375,0.9995175432803672,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030090449684365,2.140975932495995,0.9453669085212004,0.810392246973729,0.9880912831406613,1.9527411123103238,0.9372806685009178,0.7847143479593223,0.9715996257910695,1.9554625813240056,0.9457038909232608,0.8126720465528157
376,0.9983090411763572,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300906724654133,2.140975963362968,0.945366799602799,0.8103922442414115,0.9880913253851907,1.9527402707299042,0.9372805761315035,0.7847144583112668,0.9716000763521864,1.9554630375950235,0.9457037770922444,0.8126720028433032
377,0.9992982193613216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300904900751136,2.1409759380795634,0.9453668887740703,0.8103922464794755,0.9880912906817869,1.9527409597134282,0.9372806517543221,0.7847143679682715,0.971599707480027,1.955462664040287,0.9457038702853607,0.8126720386288228
378,0.998831712467259,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300905760467922,2.140975949982897,0.9453668467422558,0.8103922454258022,0.9880913067345338,1.9527406349350973,0.9372806161089031,0.7847144105545447,0.9715998813532531,1.9554628401118137,0.9457038263576918,0.8126720217616532
379,0.9974790519335212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300908257857881,2.140975984705276,0.9453667246436244,0.8103922423522165,0.9880913552193626,1.952739691672624,0.9372805125602519,0.784714534242041,0.9716003864245036,1.9554633516587518,0.9457036987529427,0.8126719727568592
380,0.999333722235633,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030090483535679,2.1409759371751784,0.9453668919712159,0.810392246559531,0.9880912894608167,1.9527409844190262,0.9372806544656734,0.7847143647287935,0.9715996942542701,1.9554626506479647,0.945703873626723,0.8126720399117705
