,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
209,1.0,34.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.069614759727441,276.4238436824311,0.969941140649145,0.8899020869719952,9.899281108113504,207.16714985570803,0.9697323447946986,0.8906233137616333,10.965201214540306,216.10666070620385,0.980872619292929,0.9303703818604511
210,3.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.020832335492456,272.7035059105911,0.9707172712404828,0.8917324060571645,9.813888633050006,205.624096133934,0.9702698707449711,0.8910850348637258,11.477465207941881,226.26356512483315,0.9797242494292389,0.9270978248099744
211,1.0,46.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.006267995951584,275.0719419984132,0.9704010443926472,0.8907128037258973,9.789021585658789,205.290568925117,0.9700501279187432,0.8909061481145069,10.886389020495544,216.22493278598256,0.9808970022737445,0.9303322745678547
212,4.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.975119682906136,273.7796012510695,0.9707940796311878,0.8913003392307846,9.691411931689895,203.73601223137655,0.9707636422530095,0.8921686835530385,10.900048197760126,220.65776623825744,0.9804181555592546,0.9289040145616639
213,4.0,36.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.077648081255571,275.1720134466061,0.9705204958729421,0.8907296563377356,9.884672755250207,208.61023531412997,0.9697727113113382,0.8891801859376333,10.864956220889962,222.55722718265778,0.9800030566536695,0.9282920077877987
214,1.0,43.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.078241336133699,274.3968713324912,0.970282479384529,0.8910275937815152,9.823133124981187,204.72461326059252,0.9700645126910159,0.891143827392518,10.801938444858196,214.4547614521312,0.9810840950270542,0.9309026241980551
215,4.0,41.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.986459888075242,275.75417856095925,0.9706442270796276,0.8905836662892763,9.72722517429749,208.9955891966109,0.9701840543390423,0.8894518140818886,10.923279312577346,218.17465791474467,0.9812855886930337,0.9297040726616795
216,5.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.055021008389721,273.97339960350683,0.9705296904836798,0.8911889190605661,9.853368095878913,208.8651205804715,0.9695774233404213,0.8889946473067416,10.85135953824521,215.07251108784146,0.9811100725610185,0.9307035851166137
217,1.0,45.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091843362063178,275.31274647681437,0.970098862465324,0.8906780551475721,9.788344099632154,204.8710370391202,0.9699831803703527,0.891028584255555,10.746325348151293,213.9460827143717,0.9811710912341778,0.9310665206099018
218,3.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.007768106293218,273.24307006157363,0.9707663395637499,0.8914629885346086,9.77067260886291,205.33067300168278,0.9705698696475267,0.891480020852409,10.855867620357769,217.4483210625883,0.9806924524061931,0.9299380985704185
