,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
218,1.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091843362063178,275.31274647681437,0.970098862465324,0.8906780551475721,9.788344099632154,204.8710370391202,0.9699831803703527,0.891028584255555,10.746325348151293,213.9460827143717,0.9811710912341778,0.9310665206099018
219,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94120895837314,275.26907594131876,0.9707253135773631,0.8904329399026661,9.619846146793936,203.78162565103753,0.9708536089803642,0.8916704325909313,10.692361926268639,213.28075501920026,0.9814038911441357,0.9312808893535632
220,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.913695823608416,273.031820821938,0.9708241839828019,0.8915617472486104,9.655044410116057,202.9592253460581,0.9707796615410136,0.8919874228790772,10.70737835042554,213.5947601508059,0.9813425584062401,0.9311797168245162
221,3.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.084568152066925,274.7796449416753,0.9704221149491454,0.8909161641591302,9.86083054272595,208.0917161996254,0.9697693254577289,0.8897726051566237,10.827151305652784,218.5808008911418,0.9805125709759351,0.9295732132968447
222,4.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.027550423593313,274.3084559032652,0.9706258266372497,0.8910356085791289,9.775220161435211,204.7611079107076,0.9701292119594181,0.8910047235256879,11.21404136347682,225.83123773875585,0.9797453955120683,0.927237120797916
223,3.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96954577812579,273.515447933635,0.970802870524212,0.8913578565585183,9.709296614427894,204.47209295437756,0.9703955862162537,0.8913477561273673,11.070229728989318,217.69084120473167,0.9808816103960856,0.9298599585221969
224,2.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.034103390360864,274.3346330147378,0.9706633007679651,0.8910205456017221,9.79390167987751,204.89476837331594,0.9704678787930572,0.8911220263863129,10.755607767522116,214.90176294688743,0.9809706737060541,0.9307586002087622
225,3.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06431619231686,273.5528524589361,0.9709173947752892,0.8913834367232238,9.779386026108607,205.22271243798062,0.9707144606947038,0.8914152987416143,10.91286978651537,217.85918936243445,0.9805568198783203,0.9298057167052302
226,3.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.017576006604267,274.11079985097774,0.970971515577596,0.8911363897195668,9.780793447515954,205.74977862479136,0.97072216899427,0.8913006880688874,11.05359726060933,219.97496472341825,0.9803117889889449,0.9291240133742317
227,1.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.067261784886199,280.94825619595923,0.9696793477213166,0.8879534720117985,9.738359989844577,206.36597055693085,0.9701663298315613,0.8906510290943317,10.619217344002093,212.3453076583734,0.9814515290840612,0.9315822907185706
228,1.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.051732199524892,274.7375221121573,0.9702795371513182,0.8908967720515797,9.78035703863654,204.55817760526364,0.9701425995660443,0.8912197031002558,10.78658506003226,214.37108195216416,0.981093941571913,0.9309295857531029
229,4.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.041867267579708,273.6350891151764,0.9709384972923141,0.891355616074313,9.792853663201866,204.55264615423349,0.9706733094776236,0.8916525509434394,11.094779930230917,224.10061865421895,0.9796368378291008,0.9277947266838593
230,1.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.035912608402121,275.5004551392649,0.970233167940698,0.890479629918224,9.734349899041302,203.40716133250376,0.9703233566895428,0.8917157909300628,10.755409891453164,213.371458386561,0.9812666418022645,0.9312516647067492
231,4.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.010445694884673,274.21955626309153,0.9705955839525604,0.891063370830119,9.752352088895883,206.45153756772066,0.969988473420536,0.8904846054546027,10.8229212841972,215.23496222923453,0.9810597263326276,0.9306512433197225
